요구사항ID,요구사항명,하위 요구사항ID,하위 요구사항명,상세 설명
REQ-APP-006,탭 기반 네비게이션,REQ-APP-006-02,Auto Route 기반 라우팅,선언적 라우팅을 통해 화면 간 네비게이션을 관리한다.
REQ-APP-007,상태 관리,REQ-APP-007-01,Riverpod 상태 관리,앱 전역 상태를 Riverpod Provider를 통해 관리한다.
REQ-APP-007,상태 관리,REQ-APP-007-02,로컬 저장소 관리,SharedPreferences를 통해 사용자 토큰 및 설정 정보를 로컬에 저장한다.
REQ-APP-007,상태 관리,REQ-APP-007-03,토큰 상태 실시간 동기화,토큰 갱신시 Riverpod Authentication Provider 상태를 실시간으로 업데이트 한다.
REQ-APP-008,크로스 플랫폼 네이티브 통신,REQ-APP-008-01,MethodChannel 브리지,Flutter와 Android/iOS 네이티브 코드 간 양방향 통신을 제공한다.
REQ-APP-008,크로스 플랫폼 네이티브 통신,REQ-APP-008-02,Android 네이티브 알림,Android NotificationManager를 통해 시스템 알림을 표시한다.
REQ-APP-008,크로스 플랫폼 네이티브 통신,REQ-APP-008-03,Android 네이티브 진동,Android Vibrator 서비스를 통해 진동 피드백을 제공한다.
REQ-APP-008,크로스 플랫폼 네이티브 통신,REQ-APP-008-04,iOS 네이티브 알림,iOS UserNotifications 프레임워크를 통해 시스템 알림을 표시한다.
REQ-APP-008,크로스 플랫폼 네이티브 통신,REQ-APP-008-05,iOS 네이티브 진동,iOS AudioToolbox와 UIImpactFeedbackGenerator를 통해 햅틱 피드백을 제공한다.
REQ-APP-009,사용자 경험 개선,REQ-APP-009-01,키보드 감지 토스트,가상 키보드 상태를 감지하여 토스트 메시지가 키보드에 가려지지 않도록 위치를 조정한다.
REQ-APP-009,사용자 경험 개선,REQ-APP-009-02,로딩 상태 표시,API 호출 중 사용자에게 로딩 상태를 시각적으로 표시한다.
REQ-APP-009,사용자 경험 개선,REQ-APP-009-03,에러 핸들링,네트워크 오류와 API 오류 등 예외 상황에 대한 적절한 사용자 피드백을 제공한다.
REQ-APP-009,사용자 경험 개선,REQ-APP-009-04,외부 링크 안전성 검증,외부 URL 이동 전 유효성을 검증하고 실패 시 사용자에게 오류 메시지를 표시한다.
REQ-APP-009,사용자 경험 개선,REQ-APP-009-05,투명한 토큰 관리,사용자는 토큰 갱신 과정을 인지하지 못하고 seamless하게 API 호출이 지속된다.
REQ-APP-010,코드 생성 및 관리,REQ-APP-010-01,Freezed 코드 생성,불변 데이터 클래스 자동 생성을 통해 타입 안정성을 보장한다.
REQ-APP-010,코드 생성 및 관리,REQ-APP-010-02,JSON 직렬화,API 응답 데이터의 자동 직렬화/역직렬화를 지원한다.
REQ-APP-010,코드 생성 및 관리,REQ-APP-010-03,라우트 코드 생성,Auto Route를 통한 타입 안전 라우팅 코드를 자동 생성한다.
REQ-APP-011,개발 도구 지원,REQ-APP-011-01,FVM 버전 관리,Flutter Version Manager를 통해 프로젝트별 Flutter 버전을 관리한다.
REQ-APP-011,개발 도구 지원,REQ-APP-011-02,Build Runner 워치 모드,개발 중 코드 변경 시 자동으로 생성 코드를 업데이트한다.
REQ-APP-011,개발 도구 지원,REQ-APP-011-03,린트 및 분석,flutter_lints와 riverpod_lint를 통해 코드 품질을 관리한다.
REQ-APP-012,뉴스 분석 시스템 (Isolate),REQ-APP-012-01,Isolate 기반 백그라운드 뉴스 분석,Flutter Isolate를 활용하여 UI 블로킹 없이 백그라운드에서 대량의 뉴스 데이터를 분석한다.
REQ-APP-012,뉴스 분석 시스템 (Isolate),REQ-APP-012-02,감성 분석 (Sentiment Analysis),동적 키워드 API와 기본 키워드를 활용하여 뉴스의 감성(긍정/부정/중립)을 분석한다. 가중치 시스템을 통해 키워드별 중요도를 차별화한다.
REQ-APP-012,뉴스 분석 시스템 (Isolate),REQ-APP-012-03,키워드 추출 및 우선순위화,뉴스 제목과 본문에서 관련 키워드를 추출하고 중요도에 따라 우선순위를 매겨 최대 5개까지 선별한다.
REQ-APP-012,뉴스 분석 시스템 (Isolate),REQ-APP-012-04,중요도 점수 계산,키워드 가중치(60%)와 제목 키워드(20%)와 감성 신뢰도(15%)와 키워드 개수(15%)와 텍스트 길이(10%)와 최신성(10%)을 종합하여 0.0-1.0 범위의 중요도 점수를 계산한다.
REQ-APP-012,뉴스 분석 시스템 (Isolate),REQ-APP-012-05,엔티티 추출,정규식을 활용하여 뉴스에서 회사명과 인명 등 핵심 엔티티를 추출한다. 최대 3개까지 제한한다.
REQ-APP-012,뉴스 분석 시스템 (Isolate),REQ-APP-012-06,읽기 시간 추정,뉴스 텍스트 길이를 기반으로 평균 읽기 속도(분당 200단어)를 적용하여 예상 읽기 시간을 분 단위로 계산한다.
REQ-APP-012,뉴스 분석 시스템 (Isolate),REQ-APP-012-07,동적 키워드 관리,서버 API를 통해 키워드와 가중치를 실시간으로 업데이트하고 관리한다. 키워드별 활성화/비활성화 기능을 제공한다.
REQ-APP-012,뉴스 분석 시스템 (Isolate),REQ-APP-012-08,폴백 시스템,API 키워드 로딩 실패 시 기본 하드코딩된 키워드로 안정적인 분석을 보장한다.
REQ-APP-012,뉴스 분석 시스템 (Isolate),REQ-APP-012-09,신뢰도 계산,감성 분석 결과의 신뢰도를 0.0-1.0 범위로 계산하여 분석 결과의 정확도를 평가한다.
REQ-APP-012,뉴스 분석 시스템 (Isolate),REQ-APP-012-10,분석 결과 데이터 모델,AnalyzedNews 모델을 통해 원본 뉴스와 감성 분석과 키워드와 중요도 점수와 엔티티와 읽기 시간을 포함한 분석 결과를 구조화한다.
REQ-APP-012,뉴스 분석 시스템 (Isolate),REQ-APP-012-11,실시간 처리 성능 모니터링,Isolate 분석 작업의 처리 시간을 측정하고 성능 지표를 제공한다. (평균 100개 뉴스당 200-500ms)
REQ-APP-012,뉴스 분석 시스템 (Isolate),REQ-APP-012-12,분석 결과 화면 표시,NewsAnalysisScreen을 통해 분석된 뉴스를 감성별과 중요도별로 필터링하고 정렬하여 사용자에게 표시한다.
